date,value
2022/1/8,196
2022/1/9,195
2022/1/10,234
2022/1/11,249
2022/1/12,215
2022/1/13,234
2022/1/14,184
2022/1/15,159
2022/1/16,240
2022/1/17,198
2022/1/18,120
2022/1/19,84
2022/1/20,102
2022/1/21,98
2022/1/22,77
2022/1/23,76
2022/1/24,83
2022/1/25,106
2022/1/26,109
2022/1/27,115
2022/1/28,89
2022/1/29,142
2022/1/30,106
2022/1/31,93
2022/2/1,89
2022/2/2,131
2022/2/3,79
2022/2/4,80
2022/2/5,74
2022/2/6,125
2022/2/7,137
2022/2/8,129
2022/2/9,54
2022/2/10,157
2022/2/11,130
2022/2/12,95
2022/2/13,114
2022/2/14,120
2022/2/15,120
2022/2/16,116
2022/2/17,127
2022/2/18,160
2022/2/19,231
2022/2/20,170
2022/2/21,172
2022/2/22,258
2022/2/23,285
2022/2/24,298
2022/2/25,336
2022/2/26,326
2022/2/27,277
2022/2/28,389
2022/3/1,381
2022/3/2,331
2022/3/3,425
2022/3/4,422
2022/3/5,520
2022/3/6,750
2022/3/7,749
2022/3/8,710
2022/3/9,852
2022/3/10,1563
2022/3/11,1598
2022/3/12,1770
2022/3/13,2950
2022/3/14,3095
2022/3/15,4652
2022/3/16,4221
2022/3/17,2494
2022/3/18,3969
2022/3/19,5838
2022/3/20,2900
2022/3/21,4332
2022/3/22,6923
2022/3/23,4814
2022/3/24,4838
2022/3/25,5693
2022/3/26,5563
2022/3/27,6177
2022/3/28,6979
2022/3/29,8733
2022/3/30,8484
2022/3/31,397
